parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,mutant
r_cut,1,0.052573978000033286,0.05267834130829169,0.05202336748567184,0.03350486565473908,0.07277162790737592,0.95,12SpacG6A
k_loop,1,0.006701578456928091,0.006730743590447985,0.006661023418442953,0.005298679907965957,0.008265824438652522,0.95,12SpacG6A
k_unloop,1,0.090233538208879,0.09074627626584307,0.08942972004451168,0.06658351860929755,0.11689041367835341,0.95,12SpacG6A
p_loop,1,0.06959270452199243,0.0690495421420456,0.06893424254001917,0.05931806763481414,0.08175655100205559,0.95,12SpacG6A
p_cut,1,0.36792666057395385,0.36728939703159935,0.3662336654112659,0.26639269661790443,0.48152601462006506,0.95,12SpacG6A
f_loop,1,0.044823873824979994,0.04482519663797107,0.04482460654037396,0.04474366097159851,0.04491035579814268,0.95,12SpacG6A
r_cut,1,0.06394371234712659,0.06448917109667765,0.06361323682807515,0.05085923679484544,0.07638175247192462,0.95,12SpacG11T
k_loop,1,0.009885978664621499,0.009909186441414822,0.009883053894360975,0.009095440031455609,0.010710199290285263,0.95,12SpacG11T
k_unloop,1,0.1537833000389299,0.1537488264606492,0.153962382395048,0.13493145412542856,0.17033284231523732,0.95,12SpacG11T
p_loop,1,0.06048377093136878,0.06054812878208819,0.060291569999259914,0.05613667156612816,0.06500262577252931,0.95,12SpacG11T
p_cut,1,0.29368549301751007,0.2954992797701858,0.29223613827606376,0.24074202886873428,0.35030911632144784,0.95,12SpacG11T
f_loop,1,0.043433272636723155,0.043433305937580526,0.04343288744450403,0.04339932560436065,0.043464784570369924,0.95,12SpacG11T
r_cut,1,0.03391327539828167,0.033977535293997226,0.030414855370308372,0.0022835928584513192,0.07161869999290735,0.95,12HeptT6C
k_loop,1,0.0012981775803236329,0.0013076261440175705,0.0012796003692514578,0.0008402966489713492,0.0017684889397008468,0.95,12HeptT6C
k_unloop,1,0.30641763312531967,0.3088308454372699,0.3020819558775417,0.20039002708090106,0.43484692713559236,0.95,12HeptT6C
p_loop,1,0.004234370328990559,0.004216265519561126,0.004179811602703117,0.003829074642010707,0.0047853775852133035,0.95,12HeptT6C
p_cut,1,0.09959374242855715,0.09911524106125266,0.09086352829496103,0.008971095320641104,0.20578818188049605,0.95,12HeptT6C
f_loop,1,0.0037999381813781474,0.0037999573338402806,0.003800112198871868,0.003782499029547702,0.003818204889959846,0.95,12HeptT6C
r_cut,1,0.0321831355159235,0.03228374653029297,0.031482638918680556,0.015591994537839575,0.05077633011925736,0.95,V10-96
k_loop,1,0.003331571143319536,0.0032748225545009397,0.0033045554241224705,0.002413977026506528,0.0043507155154626585,0.95,V10-96
k_unloop,1,0.06222735852175713,0.060517957829813555,0.0616813109820062,0.03945879025862957,0.08604150210959077,0.95,V10-96
p_loop,1,0.05155309642651238,0.05133531623440825,0.050518249404588725,0.04091115697471426,0.06408505885651046,0.95,V10-96
p_cut,1,0.34082071681500264,0.3478788105552409,0.33704156258455104,0.1851957422418213,0.4924375963926604,0.95,V10-96
f_loop,1,0.03408528541536533,0.03408556345309601,0.034084899830665184,0.034022594032345796,0.03414874647823071,0.95,V10-96
r_cut,1,0.06127240139781165,0.06103267431837064,0.061170794773747775,0.04741710874294513,0.07656246808239764,0.95,12HeptA4T
k_loop,1,0.004612190421911153,0.004571183208246536,0.0046056421536389055,0.003948451190112076,0.005215397316422562,0.95,12HeptA4T
k_unloop,1,0.08543930467050026,0.08437701521458829,0.08547792131770805,0.06848965176362591,0.10275282591343923,0.95,12HeptA4T
p_loop,1,0.051470777838458166,0.05139152101222344,0.051238259138951345,0.044410668828699575,0.058281881432625214,0.95,12HeptA4T
p_cut,1,0.417703983264592,0.4197290738629685,0.41798016487918704,0.3400851170908818,0.5072366448995868,0.95,12HeptA4T
f_loop,1,0.030478944709506683,0.030478441181857833,0.030478642976788248,0.030444280997066656,0.030516033477878374,0.95,12HeptA4T
r_cut,1,0.09136993218594865,0.09285174732305626,0.06436381267587765,2.8911285961473913e-05,0.26693928347257717,0.95,V8-18
k_loop,1,0.006596423275390909,0.006570189008546069,0.006413859357103752,0.0023495804916331994,0.011030208556256551,0.95,V8-18
k_unloop,1,0.6982307456114821,0.693552517891868,0.6823322353604824,0.23184428141176205,1.1941174208447134,0.95,V8-18
p_loop,1,0.009501567528505955,0.0093843392648035,0.009088317742172707,0.00824209426304618,0.01200659220696919,0.95,V8-18
p_cut,1,0.11572124931438296,0.11807126617971722,0.08917881902686559,4.910035098346311e-05,0.31246534347451954,0.95,V8-18
f_loop,1,0.008285010118698689,0.008285498950883612,0.008284835794312181,0.008238720201751955,0.00833375381625925,0.95,V8-18
r_cut,1,0.21330493892212052,0.2164450133703167,0.20956302669348467,0.12513684444418025,0.30322585970370863,0.95,DFL1613
k_loop,1,0.013002707668225581,0.012969847742201423,0.012876578105114639,0.00892625228979222,0.016686294114615568,0.95,DFL1613
k_unloop,1,0.21448547769770265,0.21021662057078558,0.21121234100157696,0.1309718037018517,0.3141451464920274,0.95,DFL1613
p_loop,1,0.05849440865619755,0.05811215993620667,0.05707954359876938,0.04317274525525093,0.07627781450404092,0.95,DFL1613
p_cut,1,0.4987912937886913,0.5072989839067542,0.49782928859993186,0.34855301400947464,0.6459372764849257,0.95,DFL1613
f_loop,1,0.02949856556143468,0.029501635534701046,0.02949863971940136,0.029381498852044934,0.029628964240470682,0.95,DFL1613
r_cut,1,0.09720584446242123,0.09784401110858999,0.09580063171914976,0.06216211061324611,0.13766713041938017,0.95,12SpacC1A
