mutant,p_value
12CodC6A,0.6321737
12HeptA4T,0.2324601
12HeptC3G,0.0
12HeptC3T,0.0
12HeptG5A,0.0601563
12HeptG5C,1.16e-05
12HeptG7A,0.0011414
12HeptG7C,0.2308761
12HeptG7T,0.0001211
12HeptT6A,1.0
12HeptT6C,0.0005427
12HeptT6CG7A,0.5008406
12NonA1G,0.0969878
12NonA3C,1.0
12NonA4C,0.0416724
12NonA4T,1.0
12NonA5T,0.0183768
12NonC8G,0.5110624
12NonC8T,0.3297535
12NonC9T,0.483062
12SpacA12C,1.0
12SpacA12T,0.8258922
12SpacA3G,0.2579202
12SpacA3T,0.0996454
12SpacA7C,0.5845703
12SpacA7G,1.0
12SpacC1A,1.0
12SpacC1G,0.2231515
12SpacC4G,0.0007175
12SpacC4T,0.038068
12SpacC8T,0.2104803
12SpacG10A,0.8787164
12SpacG10C,0.5691291
12SpacG10CG11A,0.1702802
12SpacG10T,0.017523
12SpacG11A,0.6880755
12SpacG11C,0.1995706
12SpacG11T,0.003067
12SpacG6A,0.0615299
12SpacG6T,0.7802957
12SpacT9A,0.4991024
12SpacT9C,0.0075772
12SpacT9G,0.1517897
DFL161,0.0437228
DFL1613,0.8548277
V1-135,0.0638461
V10-96,0.4904939
V19-93,0.8783217
V4-55,0.8060493
V5-43,0.00051
V6-15,1.84e-05
V6-17,0.0868661
V8-18,0.0657691
V9-120,0.860218
