mutant,salt,hmgb1,n_beads,n_cuts,mode,std,n_muts
12HeptA4T,Ca,80,85,0,0.0,0.0,1.0
12HeptA4T,Mg,80,127,53,0.41732283464566927,0.043757067940120485,1.0
12HeptC3G,Mg,80,63,1,0.015873015873015872,0.015746535643234815,1.0
12HeptC3T,Mg,80,57,2,0.03508771929824561,0.02437160097855236,1.0
12HeptG5A,Mg,80,14,3,0.21428571428571427,0.10966421051124835,1.0
12HeptG5C,Mg,80,83,18,0.21686746987951808,0.04523512474497741,1.0
12HeptG7A,Mg,80,105,29,0.2761904761904762,0.043633680421932934,1.0
12HeptG7C,Mg,80,30,10,0.3333333333333333,0.08606629658238704,1.0
12HeptG7T,Mg,80,52,7,0.1346153846153846,0.04733149927744425,1.0
12HeptT6A,Mg,80,1,1,1.0,0.0,1.0
12HeptT6AG7C,Mg,80,1,0,0.0,0.0,2.0
12HeptT6C,Mg,80,28,2,0.07142857142857142,0.04867036741923192,1.0
12HeptT6CG7A,Mg,80,2,0,0.0,0.0,2.0
12NonA1G,Mg,80,126,40,0.31746031746031744,0.0414689848052765,1.0
12NonA3C,Mg,80,17,7,0.4117647058823529,0.1193646249872688,1.0
12NonA4C,Mg,80,41,10,0.24390243902439024,0.06706641034558605,1.0
12NonA4T,Mg,80,13,6,0.46153846153846156,0.13826415911891032,1.0
12NonA5T,Mg,80,63,17,0.2698412698412698,0.055923269276172076,1.0
12NonC8G,Mg,80,39,11,0.28205128205128205,0.07205737677223015,1.0
12NonC8T,Mg,80,23,7,0.30434782608695654,0.09594387554215139,1.0
12NonC9T,Mg,80,23,12,0.5217391304347826,0.10415861863104658,1.0
12SpacA12C,Mg,80,17,7,0.4117647058823529,0.1193646249872688,1.0
12SpacA12T,Mg,80,29,12,0.41379310344827586,0.09145723911072252,1.0
12SpacA3G,Mg,80,39,13,0.3333333333333333,0.07548513560963972,1.0
12SpacA3T,Mg,80,30,18,0.6,0.08944271909999159,1.0
12SpacA7C,Mg,80,37,15,0.40540540540540543,0.08071502466945957,1.0
12SpacA7G,Mg,80,22,10,0.45454545454545453,0.10615894693111677,1.0
12SpacC1A,Mg,80,74,29,0.3918918918918919,0.05674892985790457,1.0
12SpacC1G,Mg,80,18,12,0.6666666666666666,0.1111111111111111,1.0
12SpacC4G,Mg,80,43,8,0.18604651162790697,0.05934393390738866,1.0
12SpacC4T,Mg,80,144,46,0.3194444444444444,0.038855116508320645,1.0
12SpacC8T,Mg,80,14,5,0.35714285714285715,0.12806020814297073,1.0
12SpacG10A,Mg,80,74,33,0.44594594594594594,0.057783164016762936,1.0
12SpacG10C,Mg,80,35,20,0.5714285714285714,0.08364857768130285,1.0
12SpacG10CG11A,Mg,80,24,14,0.5833333333333334,0.10063456073742666,2.0
12SpacG10T,Mg,80,24,19,0.7916666666666666,0.08289816934939807,1.0
12SpacG11A,Mg,80,33,13,0.3939393939393939,0.08505811700208933,1.0
12SpacG11C,Mg,80,29,8,0.27586206896551724,0.08299609211231937,1.0
12SpacG11T,Ca,40,43,0,0.0,0.0,1.0
12SpacG11T,Ca,80,206,3,0.014563106796116505,0.008346565690046373,1.0
12SpacG11T,Ca,160,123,0,0.0,0.0,1.0
12SpacG11T,Mg,0,25,0,0.0,0.0,1.0
12SpacG11T,Mg,80,292,85,0.2910958904109589,0.026584001845069604,1.0
12SpacG6A,Mg,80,74,27,0.36486486486486486,0.05596071199680458,1.0
12SpacG6T,Mg,80,82,35,0.4268292682926829,0.05462131764910641,1.0
12SpacT9A,Mg,80,26,13,0.5,0.09805806756909202,1.0
12SpacT9C,Mg,80,50,12,0.24,0.060398675482166,1.0
12SpacT9G,Mg,80,9,6,0.6666666666666666,0.15713484026367722,1.0
DFL161,Mg,80,11,1,0.09090909090909091,0.08667841720414475,10.0
DFL1613,Mg,80,38,19,0.5,0.08111071056538127,7.0
V1-135,Mg,80,60,20,0.3333333333333333,0.06085806194501846,5.0
V10-96,Mg,80,46,17,0.3695652173913043,0.07116831969319395,10.0
V19-93,Mg,80,62,29,0.46774193548387094,0.06336777155744094,6.0
V5-43,Mg,80,23,3,0.13043478260869565,0.0702237263554129,7.0
V6-15,Mg,80,34,1,0.029411764705882353,0.02897601076893465,7.0
V6-17,Mg,80,37,11,0.2972972972972973,0.07514159864153769,6.0
V8-18,Mg,80,7,0,0.0,0.0,9.0
V9-120,Mg,80,44,21,0.4772727272727273,0.07529992621546248,7.0
WT12rss,Ca,80,171,6,0.03508771929824561,0.014070950385549352,0.0
WT12rss,Mg,80,190,78,0.4105263157894737,0.035688304131141005,0.0
