mutant,global_loops_per_bead,mean_loops_per_bead,std_loops_per_bead
12SpacG6A,0.28,0.31839566005088504,0.21772659499793573
12HeptT6C,0.05856832971800434,0.07065892718178152,0.09295667810788336
V10-95,0.10743801652892562,0.09699820788530467,0.07450320802790336
12SpacG11T,0.28905419766206164,0.30988561327849806,0.2583904963181523
V8-18,0.03424657534246575,0.025432900432900432,0.029295839142076112
DFL1613,0.4457831325301205,0.42049062049062047,0.19117846836308994
V4-55,0.2,0.19493773946360152,0.09057568545933514
V6-17,0.2857142857142857,0.2686307086841195,0.14714447870318412
12SpacT9C,0.3418803418803419,0.35426144196305487,0.11906951622116194
12NonA5T,0.16666666666666666,0.16942397166384585,0.11452049981378651
12SpacT9G,0.08333333333333333,0.07821969696969697,0.01998801580800932
12HeptG7C,0.18493150684931506,0.1958939154357412,0.12462101220702312
12HeptT6A,0.016260162601626018,0.016091510828352935,0.014689855720852471
12SpacA7G,0.11904761904761904,0.11030871845016582,0.07746244729251914
12SpacC4G,0.20476190476190476,0.2149713571452702,0.11266204477753607
V19-93,0.2112676056338028,0.23778024819528004,0.17688368160388507
12SpacA12C,0.12878787878787878,0.13021339051318015,0.06952709745770252
12NonA4T,0.08609271523178808,0.08656018975786417,0.04112702340988413
12SpacC4T,0.42810457516339867,0.4276417685966173,0.507459852524878
12SpacC8T,0.14285714285714285,0.15155787195260878,0.08992494598665494
12HeptT6AG7C,0.008695652173913044,0.006944444444444444,0.012028130608117204
12SpacA7C,0.2517985611510791,0.23270700470340935,0.1106119845053044
WT12rss,0.26,0.29002924954470866,0.163208894464177
V5-43,0.12365591397849462,0.19232190324295587,0.2539303630253066
V6-15,0.1691542288557214,0.182462566673093,0.0973680095900449
12HeptC3G,0.17647058823529413,0.17862103174603175,0.09540544933601568
DFL161,0.04182509505703422,0.03472726766816407,0.042215868873129385
12HeptC3T,0.25943396226415094,0.22242846056887805,0.16037098748263695
12SpacG10T,0.36923076923076925,0.34113384484228476,0.09864436645003087
12SpacC1A,0.2047244094488189,0.20785945941786124,0.1683523864917475
12HeptG7A,0.26822157434402333,0.29538430421985096,0.1940418295322745
12SpacG11C,0.1686046511627907,0.16665917939502845,0.07367680846700411
12NonC9T,0.2018348623853211,0.19324675324675325,0.07397674371193252
12HeptG7T,0.228310502283105,0.2284832792766229,0.2011012311303412
12SpacG10A,0.2465753424657534,0.27338384756555084,0.17214446685347592
V10-96,0.19393939393939394,0.19558963077984817,0.12159933911647247
12HeptG5A,0.14583333333333334,0.13133435192258722,0.15629503968292646
12NonA1G,0.30357142857142855,0.2859635581272782,0.19016811112412327
12SpacC1G,0.15384615384615385,0.15229482323232324,0.02570379358458971
12HeptT6CG7A,0.013513513513513514,0.013683634373289545,0.0197196316744957
12SpacG10CG11A,0.12972972972972974,0.13279348102877514,0.0949876720148877
12NonA4C,0.09375,0.09991078033009786,0.10554489884317643
12SpacA3T,0.25,0.24534980658930236,0.16065743639734176
12SpacG11A,0.1793478260869565,0.1727376528463485,0.18989154520338208
12SpacA12T,0.21014492753623187,0.2030584918957012,0.12098500117478178
12SpacA3G,0.291044776119403,0.2996565934065934,0.1494476824409202
12SpacG6T,0.44565217391304346,0.4531272545118418,0.2539543823841873
V1-135,0.208955223880597,0.209832783900182,0.15717296983510332
12SpacG10C,0.27350427350427353,0.2777519893899204,0.10238943142908691
12NonC8G,0.29770992366412213,0.29967475495945506,0.22123378686974512
12HeptA4T,0.20922570016474465,0.19149830727187286,0.14179826865057493
12NonC8T,0.08214285714285714,0.08664852304558188,0.08082431910577076
12SpacT9A,0.23214285714285715,0.28072187637552665,0.1526930257474054
V9-120,0.1774193548387097,0.1937797155610921,0.14894716348713788
12NonA3C,0.02707581227436823,0.023070851990788205,0.032945481306549694
12HeptG5C,0.09866017052375152,0.10223172439143564,0.07174853783266442
