mutant,p_value
12CodC6A,0.254364
12HeptA4T,9e-06
12HeptC3G,0.051828
12HeptC3T,0.617606
12HeptG5A,0.062299
12HeptG5C,0.086642
12HeptG7A,0.324917
12HeptG7C,0.149838
12HeptG7T,0.2252
12HeptT6A,0.447564
12HeptT6C,0.26278
12HeptT6CG7A,0.406129
12NonA1G,0.298162
12NonA3C,0.397143
12NonA4C,0.02559
12NonA4T,0.045653
12NonA5T,0.608895
12NonC8G,0.083591
12NonC8T,0.216259
12NonC9T,0.510411
12SpacA12C,0.53825
12SpacA12T,0.208925
12SpacA3G,1.0
12SpacA3T,0.779739
12SpacA7C,0.40509
12SpacA7G,0.174495
12SpacC1A,0.931773
12SpacC1G,0.650486
12SpacC4G,0.053895
12SpacC4T,0.349032
12SpacC8T,0.05147
12SpacG10A,0.864114
12SpacG10C,0.306885
12SpacG10CG11A,0.151606
12SpacG10T,0.398411
12SpacG11A,0.47056
12SpacG11C,0.206662
12SpacG11T,0.903251
12SpacG6A,0.648491
12SpacG6T,0.835557
12SpacT9A,0.972083
12SpacT9C,0.192812
12SpacT9G,0.779583
DFL161,0.14021
DFL1613,0.279259
V1-135,0.073744
V10-96,0.000869
V19-93,0.014558
V4-55,0.243405
V5-43,0.799765
V6-15,0.139277
V6-17,0.076011
V8-18,0.248875
V9-120,0.73056
